קוד,פריט,משפחת פריט,קבוצת פריט,צורת ניהול מלאי,יחידת מידה,איפיון פריט 06,איפיון חברה,מזהה מדבקה לפריט
GLG-L-VORTEX-GE,וורטקס שני ראשי טלטול למבחנות ולכוסות,מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19802717
GLG-L-FLASK-FB-2L,"אביק ת.שטוחה, 2000 מ""ל, CH, B-24",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19799644
GLG-L-FLASK-FB-1L,"אביק ת.שטוחה, 1000 מ""מ, CH, B-24",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19799605
GLG-L-STIRRER-0606760,"מוט בחישה PP, אורך 350מ""מ, קוטר ציר 8 מ""מ, להב נפתח 57מ""מ",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19799576
GLG-L-STIRRER-HEAD-8MM,"בית בוחש מטפלון לטש B24 / קדח 8 מ""מ גרמני",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19799552
GLG-L-APLICATOR-COTTON-STERILE-15MM,"אפליקטור עם צד אחד צמר גפן, אורך 150 מ""מ / סטרילי, 100 יח' ב109, ארוז בודד",מעבדה,חמרי ניקוי,רגיל,קופסא,,גרין גלובל,19767938
GLG-L-TRAY-PVC-20X30X400MM,"מגש 20X300X400 PVC מ""ל",מעבדה,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19691009
GLG-P-B01,"קרטון חומ""ס 360*290*330",שונות-רוטל,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19530736
GLG-P-L31,"טריגר שטוח, נטורל, קוטר ""28, ללא ויסות זרימה מתאים לבקבוק טליה",חמרי ניקוי,חמרי ניקוי,רגיל,יחידה,,גרין גלובל,19413947
GLG-6852-23010007-25L,"מנקה ומנטרל ריחות שתן בעלי חיים בניחוח לבנדר, ג'ריקן 25 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,25L,בייתי,גרין גלובל,19339213
GLG-6852-20100007-5L,"מנקה ומנטרל ריחות שתן בעלי חיים בניחוח לבנדר, ג'ריקן 5 ליטר",חמרי ניקוי,חמרי ניקוי,אצווה,5L,בייתי,גרין גלובל,19339166
